Time,"User full name","Affected user","Event context",Component,"Event name",Description,Origin,"IP address"
"30/10/23, 14:47:21","Learner First",-,"Forum: 자유게시판",Forum,"Post created","The user with id '3' has created the post with id '4' in the discussion with id '2' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:21","Learner First",-,"Forum: 자유게시판",Forum,"Some content has been posted.","The user with id '3' has posted content in the forum post with id '4' in the discussion '2' located in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:08","Learner First",-,"Forum: 자유게시판",Forum,"Discussion viewed","The user with id '3' has viewed the discussion with id '2' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:06","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:47:03","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:59","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:54","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:54","Learner First","Learner First","Forum: 자유게시판",Forum,"Discussion subscription created","The user with id '3' subscribed the user with id '3' to the discussion  with id '2' in the forum with the course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:54","Learner First",-,"Forum: 자유게시판",Forum,"Discussion created","The user with id '3' has created the discussion with id '2' in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:54","Learner First",-,"Forum: 자유게시판",Forum,"Some content has been posted.","The user with id '3' has posted content in the forum post with id '3' in the discussion '2' located in the forum with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:16","Learner First",-,"Forum: 자유게시판",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:15","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:12","Learner First",-,"Forum: 공지사항",Forum,"Course module viewed","The user with id '3' viewed the 'forum' activity with course module id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:46:10","Learner First",-,"Course: 자바 기초",System,"Course viewed","The user with id '3' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:45:50","Learner First",-,System,System,"My courses viewed","The user with id '3' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 14:45:27","Learner First","Learner First","User: Learner First",System,"User profile viewed","The user with id '3' viewed the profile for the user with id '3'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:45:23","Learner First","Learner First","User: Learner First",System,"Dashboard viewed","The user with id '3' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 14:45:23","Learner First",-,System,System,"User has logged in","The user with id '3' has logged in.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:45:15",-,-,"Site home",System,"Course viewed","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:45:15","Learn Second",-,System,System,"User logged out","The user with id '4' has logged out.",web,0:0:0:0:0:0:0:1
"30/10/23, 14:45:08","Learn Second","Learn Second","User: Learn Second",System,"User profile viewed","The user with id '4' viewed the profile for the user with id '4'.",web,0:0:0:0:0:0:0:1
